Feature,Importance_Score
Packet Length Variance,0.3569904651802503
Fwd Packet Length Max,0.21137551420284445
Fwd Header Length,0.10653314739856994
Init_Win_bytes_forward,0.09298143465850071
Bwd Header Length,0.05391231854682536
Total Length of Fwd Packets,0.04974106541360741
Init_Win_bytes_backward,0.03903791279590597
Bwd Packets/s,0.012525765281548569
Flow IAT Min,0.012250983130908704
Fwd IAT Min,0.01151541924107987
Flow Bytes/s,0.011137421136908774
Active Min,0.01053030125374623
Bwd IAT Total,0.007488394803909104
Flow IAT Max,0.0028662553515108433
Flow Duration,0.002378395995427853
min_seg_size_forward,0.0023335852071871706
PSH Flag Count,0.0020003760602068234
Fwd IAT Mean,0.0018077377268493704
Min Packet Length,0.001153496104665645
FIN Flag Count,0.0010914652604818824
Flow IAT Mean,0.0010909906078711523
Flow IAT Std,0.0009300106329400936
Flow Packets/s,0.0008308060450772454
Bwd IAT Mean,0.0007576985973516419
Fwd PSH Flags,0.0007027780589745254
Bwd Packet Length Min,0.0006998375100569245
Bwd Packet Length Max,0.0006267257558594041
Packet Length Mean,0.0005544380359845253
Fwd Packet Length Mean,0.0004806566000827763
Bwd IAT Min,0.00047097223103913466
URG Flag Count,0.0004310054832147792
Bwd IAT Max,0.00037805875663247826
Bwd IAT Std,0.0003679831187460327
Fwd Packet Length Min,0.0003220400054451721
act_data_pkt_fwd,0.0003186072685790351
Total Fwd Packets,0.00030032737243668026
Active Max,0.0002691352748389461
ACK Flag Count,0.00022686612748658644
Idle Std,0.00019030488011185365
Max Packet Length,0.00016841758093017023
Fwd IAT Std,0.00013005776579633126
Active Mean,0.00010082753960959998
Fwd URG Flags,0.0
RST Flag Count,0.0
Down/Up Ratio,0.0
Active Std,0.0
